difficulty	episode	section_id	box	item	drop_rate
normal	1	Viridia	Forest 1	AddSlot	0.0008544890582676089
normal	1	Viridia	Forest 1	Amplifier of Foie	0.0008544890582676089
normal	1	Purplenum	Forest 1	Amplifier of Barta	0.0008544890582676089
normal	1	Pinkal	Forest 1	Amplifier of Barta	0.0008544890582676089
normal	1	Whitill	Forest 1	Amplifier of Barta	0.0008544890582676089
normal	1	Viridia	Forest 2	Amplifier of Barta	0.0008544890582676089
normal	1	Greenill	Forest 2	AddSlot	0.0008544890582676089
normal	1	Greenill	Forest 2	Amplifier of Barta	0.0008544890582676089
normal	1	Skyly	Forest 2	Amplifier of Foie	0.0008544890582676089
normal	1	Bluefull	Forest 2	Amplifier of Foie	0.0008544890582676089
normal	1	Pinkal	Forest 2	AddSlot	0.0008544890582676089
normal	1	Pinkal	Forest 2	Amplifier of Foie	0.0008544890582676089
normal	1	Redria	Forest 2	AddSlot	0.001342768520134814
normal	1	Oran	Forest 2	Amplifier of Foie	0.0008544890582676089
normal	1	Yellowboze	Forest 2	AddSlot	0.0008544890582676089
normal	1	Yellowboze	Forest 2	AddSlot	0.0008544890582676089
normal	1	Whitill	Forest 2	Amplifier of Foie	0.0008544890582676089
normal	1	Bluefull	Cave 1	Amplifier of Zonde	0.0008544890582676089
normal	1	Purplenum	Cave 1	Amplifier of Zonde	0.0008544890582676089
normal	1	Pinkal	Cave 1	Amplifier of Zonde	0.0008544890582676089
normal	1	Oran	Cave 1	Amplifier of Zonde	0.0008544890582676089
normal	1	Yellowboze	Cave 1	AddSlot	0.0008544890582676089
normal	1	Whitill	Cave 1	AddSlot	0.0008544890582676089
normal	1	Viridia	Cave 2	Amplifier of Gifoie	0.0008544890582676089
normal	1	Bluefull	Cave 2	Amplifier of Gizonde	0.0008544890582676089
normal	1	Purplenum	Cave 2	Amplifier of Gizonde	0.0008544890582676089
normal	1	Pinkal	Cave 2	Amplifier of Gizonde	0.0008544890582676089
normal	1	Oran	Cave 2	AddSlot	0.0008544890582676089
normal	1	Oran	Cave 2	Amplifier of Gizonde	0.0008544890582676089
normal	1	Viridia	Cave 3	Cannon	0.0005493177473577816
normal	1	Viridia	Cave 3	Glaive	0.0005493177473577816
normal	1	Viridia	Cave 3	Amplifier of Gibarta	0.0008544890582676089
normal	1	Greenill	Cave 3	Blaster	0.0005493177473577816
normal	1	Greenill	Cave 3	Blade	0.0005493177473577816
normal	1	Skyly	Cave 3	Breaker	0.0005493177473577816
normal	1	Skyly	Cave 3	Blaster	0.0005493177473577816
normal	1	Skyly	Cave 3	AddSlot	0.0008544890582676089
normal	1	Skyly	Cave 3	Amplifier of Gifoie	0.0008544890582676089
normal	1	Bluefull	Cave 3	Glaive	0.0005493177473577816
normal	1	Bluefull	Cave 3	Pole	0.0005493177473577816
normal	1	Bluefull	Cave 3	Amplifier of Gifoie	0.0008544890582676089
normal	1	Purplenum	Cave 3	Repeater	0.0005493177473577816
normal	1	Purplenum	Cave 3	Blade	0.0005493177473577816
normal	1	Pinkal	Cave 3	Staff	0.0005493177473577816
normal	1	Pinkal	Cave 3	Glaive	0.0005493177473577816
normal	1	Pinkal	Cave 3	Amplifier of Gifoie	0.0008544890582676089
normal	1	Redria	Cave 3	Cutter	0.0005493177473577816
normal	1	Redria	Cave 3	Cannon	0.0005493177473577816
normal	1	Redria	Cave 3	AddSlot	0.001342768520134814
normal	1	Oran	Cave 3	Blade	0.0005493177473577816
normal	1	Oran	Cave 3	Breaker	0.0005493177473577816
normal	1	Oran	Cave 3	Amplifier of Gifoie	0.0008544890582676089
normal	1	Whitill	Cave 3	Cutter	0.0005493177473577816
normal	1	Whitill	Cave 3	Repeater	0.0005493177473577816
normal	1	Whitill	Cave 3	Amplifier of Gifoie	0.0008544890582676089
normal	1	Viridia	Mine 1	Mag	0.008788890841975743
normal	1	Viridia	Mine 1	Amplifier of Rafoie	0.0008544890582676089
normal	1	Greenill	Mine 1	Mag	0.008788890841975743
normal	1	Greenill	Mine 1	Amplifier of Gibarta	0.0008544890582676089
normal	1	Skyly	Mine 1	Mag	0.008788890841975743
normal	1	Bluefull	Mine 1	Mag	0.008788890841975743
normal	1	Purplenum	Mine 1	Mag	0.008788890841975743
normal	1	Purplenum	Mine 1	AddSlot	0.0008544890582676089
normal	1	Purplenum	Mine 1	Amplifier of Gibarta	0.0008544890582676089
normal	1	Pinkal	Mine 1	Mag	0.008788890841975743
normal	1	Pinkal	Mine 1	Amplifier of Gibarta	0.0008544890582676089
normal	1	Redria	Mine 1	Mag	0.008788890841975743
normal	1	Redria	Mine 1	AddSlot	0.001342768520134814
normal	1	Oran	Mine 1	Mag	0.008788890841975743
normal	1	Yellowboze	Mine 1	Mag	0.008788890841975743
normal	1	Whitill	Mine 1	Mag	0.008788890841975743
normal	1	Whitill	Mine 1	Amplifier of Gibarta	0.0008544890582676089
normal	1	Viridia	Mine 2	Mag	0.00390625
normal	1	Viridia	Mine 2	Cannon	0.0006713887676659169
normal	1	Viridia	Mine 2	Glaive	0.0006713887676659169
normal	1	Greenill	Mine 2	Mag	0.00390625
normal	1	Greenill	Mine 2	Blaster	0.0006713887676659169
normal	1	Greenill	Mine 2	Blade	0.0006713887676659169
normal	1	Skyly	Mine 2	Mag	0.00390625
normal	1	Skyly	Mine 2	Breaker	0.0006713887676659169
normal	1	Skyly	Mine 2	Blaster	0.0006713887676659169
normal	1	Bluefull	Mine 2	Mag	0.00390625
normal	1	Bluefull	Mine 2	Glaive	0.0006713887676659169
normal	1	Bluefull	Mine 2	Pole	0.0006713887676659169
normal	1	Bluefull	Mine 2	AddSlot	0.0008544890582676089
normal	1	Purplenum	Mine 2	Mag	0.00390625
normal	1	Purplenum	Mine 2	Repeater	0.0006713887676659169
normal	1	Purplenum	Mine 2	Blade	0.0006713887676659169
normal	1	Purplenum	Mine 2	Amplifier of Rabarta	0.0008544890582676089
normal	1	Pinkal	Mine 2	Mag	0.00390625
normal	1	Pinkal	Mine 2	Staff	0.0006713887676659169
normal	1	Pinkal	Mine 2	Glaive	0.0006713887676659169
normal	1	Pinkal	Mine 2	Amplifier of Rabarta	0.0008544890582676089
normal	1	Redria	Mine 2	Mag	0.00390625
normal	1	Redria	Mine 2	Cutter	0.0006713887676659169
normal	1	Redria	Mine 2	Cannon	0.0006713887676659169
normal	1	Oran	Mine 2	Mag	0.00390625
normal	1	Oran	Mine 2	Blade	0.0006713887676659169
normal	1	Oran	Mine 2	Breaker	0.0006713887676659169
normal	1	Yellowboze	Mine 2	Mag	0.00390625
normal	1	Yellowboze	Mine 2	AddSlot	0.0008544890582676089
normal	1	Whitill	Mine 2	Mag	0.00390625
normal	1	Whitill	Mine 2	Cutter	0.0006713887676659169
normal	1	Whitill	Mine 2	Repeater	0.0006713887676659169
normal	1	Whitill	Mine 2	Amplifier of Rabarta	0.0008544890582676089
normal	1	Viridia	Ruins 1	Amplifier of Rabarta	0.0008544890582676089
normal	1	Skyly	Ruins 1	Amplifier of Rafoie	0.0008544890582676089
normal	1	Skyly	Ruins 1	Amplifier of Red 	0.0008544890582676089
normal	1	Bluefull	Ruins 1	Amplifier of Rafoie	0.0008544890582676089
normal	1	Pinkal	Ruins 1	Amplifier of Rafoie	0.0008544890582676089
normal	1	Pinkal	Ruins 1	Amplifier of Red 	0.0008544890582676089
normal	1	Redria	Ruins 1	AddSlot	0.001342768520134814
normal	1	Redria	Ruins 1	Amplifier of Red 	0.0008544890582676089
normal	1	Oran	Ruins 1	Amplifier of Red 	0.0008544890582676089
normal	1	Oran	Ruins 1	Amplifier of Rafoie	0.0008544890582676089
normal	1	Yellowboze	Ruins 1	Amplifier of Red 	0.0008544890582676089
normal	1	Whitill	Ruins 1	Amplifier of Rafoie	0.0008544890582676089
normal	1	Greenill	Ruins 2	Amplifier of Rabarta	0.0008544890582676089
normal	1	Bluefull	Ruins 2	Amplifier of Razonde	0.0008544890582676089
normal	1	Purplenum	Ruins 2	Amplifier of Razonde	0.0008544890582676089
normal	1	Pinkal	Ruins 2	Amplifier of Razonde	0.0008544890582676089
normal	1	Pinkal	Ruins 2	Amplifier of Yellow	0.0008544890582676089
normal	1	Redria	Ruins 2	Amplifier of Yellow	0.0008544890582676089
normal	1	Oran	Ruins 2	Amplifier of Yellow	0.0008544890582676089
normal	1	Oran	Ruins 2	Amplifier of Razonde	0.0008544890582676089
normal	1	Yellowboze	Ruins 2	Amplifier of Yellow	0.0008544890582676089
normal	1	Viridia	Ruins 3	Launcher	0.0007934555783894439
normal	1	Viridia	Ruins 3	Berdys	0.0007934555783894439
normal	1	Greenill	Ruins 3	Beam	0.0007934555783894439
normal	1	Greenill	Ruins 3	Edge	0.0007934555783894439
normal	1	Greenill	Ruins 3	Amplifier of Blue	0.0008544890582676089
normal	1	Skyly	Ruins 3	Claymore	0.0007934555783894439
normal	1	Skyly	Ruins 3	Beam	0.0007934555783894439
normal	1	Bluefull	Ruins 3	Berdys	0.0007934555783894439
normal	1	Bluefull	Ruins 3	Pillar	0.0007934555783894439
normal	1	Purplenum	Ruins 3	Gatling	0.0007934555783894439
normal	1	Purplenum	Ruins 3	Edge	0.0007934555783894439
normal	1	Pinkal	Ruins 3	Baton	0.0007934555783894439
