mode	episode	section_id	monster	item	drop_rate	rare_rate
normal	1	Viridia	Hildebear	Trimate	0.8	0.5617977528089888
normal	1	Greenill	Hildebear	Trimate	0.8	0.5617977528089888
normal	1	Skyly	Hildebear	Trimate	0.8	0.5617977528089888
normal	1	Bluefull	Hildebear	Trimate	0.8	0.5617977528089888
normal	1	Purplenum	Hildebear	Trimate	0.8	0.5617977528089888
normal	1	Pinkal	Hildebear	Trimate	0.8	0.5617977528089888
normal	1	Redria	Hildebear	Trimate	0.8	0.5617977528089888
normal	1	Oran	Hildebear	Trimate	0.8	0.5617977528089888
normal	1	Yellowboze	Hildebear	Trimate	0.8	0.5617977528089888
normal	1	Whitill	Hildebear	Trimate	0.8	0.5617977528089888
normal	1	Viridia	Hildeblue	Resist/Fire	1	0.8771929824561404
normal	1	Greenill	Hildeblue	Power Material	1	0.8771929824561404
normal	1	Skyly	Hildeblue	Resist/Fire	1	0.8771929824561404
normal	1	Bluefull	Hildeblue	General/Mind	1	0.8771929824561404
normal	1	Purplenum	Hildeblue	General/Legs	1	0.8771929824561404
normal	1	Pinkal	Hildeblue	Resist/Flame	1	0.8771929824561404
normal	1	Redria	Hildeblue	Resist/Light	1	0.8771929824561404
normal	1	Oran	Hildeblue	General/Mind	1	0.8771929824561404
normal	1	Yellowboze	Hildeblue	Resist/Fire	1	0.8771929824561404
normal	1	Whitill	Hildeblue	General/Legs	1	0.8771929824561404
normal	1	Viridia	Rag Rappy	Rappy's Wing	1	0.00013732905965299692
normal	1	Greenill	Rag Rappy	Rappy's Wing	1	0.00013732905965299692
normal	1	Skyly	Rag Rappy	Rappy's Wing	1	0.00013732905965299692
normal	1	Bluefull	Rag Rappy	Rappy's Wing	1	0.00013732905965299692
normal	1	Purplenum	Rag Rappy	Rappy's Wing	1	0.00013732905965299692
normal	1	Pinkal	Rag Rappy	Rappy's Wing	1	0.00013732905965299692
normal	1	Redria	Rag Rappy	Rappy's Wing	1	0.00013732905965299692
normal	1	Oran	Rag Rappy	Rappy's Wing	1	0.00013732905965299692
normal	1	Yellowboze	Rag Rappy	Rappy's Wing	1	0.00013732905965299692
normal	1	Whitill	Rag Rappy	Rappy's Wing	1	0.00013732905965299692
normal	1	Viridia	Al Rappy	Mind Material	1	0.8771929824561404
normal	1	Greenill	Al Rappy	Mind Material	1	0.8771929824561404
normal	1	Skyly	Al Rappy	Mind Material	1	0.8771929824561404
normal	1	Bluefull	Al Rappy	HP Material	1	0.8771929824561404
normal	1	Purplenum	Al Rappy	Mind Material	1	0.8771929824561404
normal	1	Pinkal	Al Rappy	Star Atomizer	1	0.8771929824561404
normal	1	Redria	Al Rappy	Trimate	1	0.8771929824561404
normal	1	Oran	Al Rappy	HP Material	1	0.8771929824561404
normal	1	Yellowboze	Al Rappy	Trimate	1	0.5617977528089888
normal	1	Whitill	Al Rappy	Star Atomizer	1	0.8771929824561404
normal	1	Pinkal	Savage Wolf	Recovery Barrier	0.3003003003003003	0.0005493177473577816
normal	1	Viridia	Barbarous Wolf	Scape Doll	0.4504504504504504	0.0029297161105088917
normal	1	Greenill	Barbarous Wolf	Star Atomizer	0.4504504504504504	0.0029297161105088917
normal	1	Skyly	Barbarous Wolf	Sol Atomizer	0.4504504504504504	0.0029297161105088917
normal	1	Bluefull	Barbarous Wolf	Scape Doll	0.4504504504504504	0.00021362317726024
normal	1	Purplenum	Barbarous Wolf	Sol Atomizer	0.4504504504504504	0.0029297161105088917
normal	1	Pinkal	Barbarous Wolf	Sol Atomizer	0.4504504504504504	0.0029297161105088917
normal	1	Redria	Barbarous Wolf	Sol Atomizer	0.4504504504504504	0.0029297161105088917
normal	1	Oran	Barbarous Wolf	Star Atomizer	0.4504504504504504	0.0029297161105088917
normal	1	Yellowboze	Barbarous Wolf	Sol Atomizer	0.4504504504504504	0.0029297161105088917
normal	1	Whitill	Barbarous Wolf	Sol Atomizer	0.4504504504504504	0.0029297161105088917
normal	1	Viridia	Booma	Booma's Right Arm	0.2801120448179272	0.00042724635452048
normal	1	Greenill	Booma	Booma's Right Arm	0.2801120448179272	0.00042724635452048
normal	1	Skyly	Booma	Booma's Right Arm	0.2801120448179272	0.00042724635452048
normal	1	Bluefull	Booma	Booma's Right Arm	0.2801120448179272	0.00042724635452048
normal	1	Purplenum	Booma	Booma's Right Arm	0.2801120448179272	0.00042724635452048
normal	1	Pinkal	Booma	Booma's Right Arm	0.2801120448179272	0.00042724635452048
normal	1	Redria	Booma	Booma's Right Arm	0.2801120448179272	0.00042724635452048
normal	1	Oran	Booma	Booma's Right Arm	0.2801120448179272	0.00042724635452048
normal	1	Yellowboze	Booma	Booma's Right Arm	0.2801120448179272	0.00042724635452048
normal	1	Whitill	Booma	Booma's Right Arm	0.2801120448179272	0.00042724635452048
normal	1	Viridia	Gobooma	Gobooma's Right Arm	0.3194888178913738	0.000152587890625
normal	1	Greenill	Gobooma	Gobooma's Right Arm	0.3194888178913738	0.000152587890625
normal	1	Skyly	Gobooma	Gobooma's Right Arm	0.3194888178913738	0.000152587890625
normal	1	Bluefull	Gobooma	Gobooma's Right Arm	0.3194888178913738	0.000152587890625
normal	1	Purplenum	Gobooma	Gobooma's Right Arm	0.3194888178913738	0.000152587890625
normal	1	Pinkal	Gobooma	Gobooma's Right Arm	0.3194888178913738	0.000152587890625
normal	1	Redria	Gobooma	Gobooma's Right Arm	0.3194888178913738	0.000152587890625
normal	1	Oran	Gobooma	Gobooma's Right Arm	0.3194888178913738	0.000152587890625
normal	1	Yellowboze	Gobooma	Gobooma's Right Arm	0.3194888178913738	0.000152587890625
normal	1	Whitill	Gobooma	Gobooma's Right Arm	0.3194888178913738	0.000152587890625
normal	1	Viridia	Gigobooma	Sol Atomizer	0.3496503496503497	0.5617977528089888
normal	1	Greenill	Gigobooma	Sol Atomizer	0.3496503496503497	0.5617977528089888
normal	1	Skyly	Gigobooma	Sol Atomizer	0.3496503496503497	0.5617977528089888
normal	1	Bluefull	Gigobooma	Sol Atomizer	0.3496503496503497	0.5617977528089888
normal	1	Purplenum	Gigobooma	Sol Atomizer	0.3496503496503497	0.5617977528089888
normal	1	Pinkal	Gigobooma	Sol Atomizer	0.3496503496503497	0.5617977528089888
normal	1	Redria	Gigobooma	Star Atomizer	0.3496503496503497	0.0005493177473577816
normal	1	Oran	Gigobooma	Sol Atomizer	0.3496503496503497	0.5617977528089888
normal	1	Yellowboze	Gigobooma	Sol Atomizer	0.3496503496503497	0.5617977528089888
normal	1	Whitill	Gigobooma	Sol Atomizer	0.3496503496503497	0.5617977528089888
normal	1	Viridia	Dragon	Star Atomizer	1	0.8771929824561404
normal	1	Greenill	Dragon	Star Atomizer	1	0.8771929824561404
normal	1	Skyly	Dragon	Star Atomizer	1	0.8771929824561404
normal	1	Bluefull	Dragon	Star Atomizer	1	0.8771929824561404
normal	1	Purplenum	Dragon	Star Atomizer	1	0.8771929824561404
normal	1	Pinkal	Dragon	Star Atomizer	1	0.8771929824561404
normal	1	Redria	Dragon	Star Atomizer	1	0.8771929824561404
normal	1	Oran	Dragon	Star Atomizer	1	0.8771929824561404
normal	1	Yellowboze	Dragon	Star Atomizer	1	0.8771929824561404
normal	1	Whitill	Dragon	Star Atomizer	1	0.8771929824561404
normal	1	Viridia	Grass Assassin	Grass Assassin's Arms	0.5	0.0001983642880804883
normal	1	Greenill	Grass Assassin	Grass Assassin's Arms	0.5	0.0001983642880804883
normal	1	Skyly	Grass Assassin	Grass Assassin's Arms	0.5	0.0001983642880804883
normal	1	Bluefull	Grass Assassin	Grass Assassin's Arms	0.5	0.0001983642880804883
normal	1	Purplenum	Grass Assassin	Grass Assassin's Arms	0.5	0.0001983642880804883
normal	1	Pinkal	Grass Assassin	Grass Assassin's Arms	0.5	0.0001983642880804883
normal	1	Redria	Grass Assassin	Grass Assassin's Arms	0.5	0.0001983642880804883
normal	1	Oran	Grass Assassin	Grass Assassin's Arms	0.5	0.0001983642880804883
normal	1	Yellowboze	Grass Assassin	Grass Assassin's Arms	0.5	0.0001983642880804883
normal	1	Whitill	Grass Assassin	Grass Assassin's Arms	0.5	0.0001983642880804883
normal	1	Viridia	Nar Lily	General/Mind	1	0.8771929824561404
normal	1	Greenill	Nar Lily	General/Mind	1	0.8771929824561404
normal	1	Skyly	Nar Lily	General/Mind	1	0.8771929824561404
normal	1	Bluefull	Nar Lily	Dragon/HP	1	0.8771929824561404
normal	1	Purplenum	Nar Lily	General/Legs	1	0.8771929824561404
normal	1	Pinkal	Nar Lily	Angel/Mind	1	0.8771929824561404
normal	1	Redria	Nar Lily	Angel/Mind	1	0.8771929824561404
normal	1	Oran	Nar Lily	Dragon/HP	1	0.8771929824561404
normal	1	Yellowboze	Nar Lily	Dragon/HP	1	0.8771929824561404
normal	1	Whitill	Nar Lily	Angel/Mind	1	0.8771929824561404
normal	1	Viridia	Nano Dragon	Sol Atomizer	0.5	0.5617977528089888
normal	1	Greenill	Nano Dragon	Trimate	0.5	0.5617977528089888
normal	1	Skyly	Nano Dragon	Trimate	0.5	0.5617977528089888
normal	1	Bluefull	Nano Dragon	Sol Atomizer	0.5	0.5617977528089888
normal	1	Purplenum	Nano Dragon	Sol Atomizer	0.5	0.5617977528089888
normal	1	Pinkal	Nano Dragon	Trimate	0.5	0.5617977528089888
normal	1	Redria	Nano Dragon	Sol Atomizer	0.5	0.5617977528089888
normal	1	Oran	Nano Dragon	Sol Atomizer	0.5	0.5617977528089888
normal	1	Yellowboze	Nano Dragon	Sol Atomizer	0.5	0.5617977528089888
normal	1	Whitill	Nano Dragon	Trimate	0.5	0.5617977528089888
normal	1	Purplenum	Evil Shark	Blue Barrier	0.2801120448179272	0.0005493177473577816
normal	1	Pinkal	Evil Shark	Assist Barrier	0.2801120448179272	0.0005493177473577816
normal	1	Whitill	Evil Shark	Blue Barrier	0.2801120448179272	0.0005493177473577816
normal	1	Redria	Pal Shark	Blue Barrier	0.3194888178913738	0.0005493177473577816
normal	1	Yellowboze	Pal Shark	Blue Barrier	0.3194888178913738	0.0005493177473577816
normal	1	Viridia	Guil Shark	Sol Atomizer	0.14992503748125938	0.5617977528089888
normal	1	Greenill	Guil Shark	Sol Atomizer	0.14992503748125938	0.5617977528089888
normal	1	Skyly	Guil Shark	Monogrinder	0.14992503748125938	0.0031737971308873937
normal	1	Bluefull	Guil Shark	Sol Atomizer	0.14992503748125938	0.5617977528089888
normal	1	Purplenum	Guil Shark	Trimate	0.14992503748125938	0.5617977528089888
normal	1	Pinkal	Guil Shark	Sol Atomizer	0.14992503748125938	0.5617977528089888
normal	1	Redria	Guil Shark	Sol Atomizer	0.14992503748125938	0.5617977528089888
normal	1	Oran	Guil Shark	Sol Atomizer	0.14992503748125938	0.5617977528089888
normal	1	Yellowboze	Guil Shark	Sol Atomizer	0.14992503748125938	0.5617977528089888
normal	1	Whitill	Guil Shark	Sol Atomizer	0.14992503748125938	0.5617977528089888
normal	1	Viridia	Pofuilly Slime	Evade Material	0.27027027027027023	0.0034179854393820283
normal	1	Greenill	Pofuilly Slime	HP Material	0.27027027027027023	0.0034179854393820283
normal	1	Skyly	Pofuilly Slime	Def Material	0.27027027027027023	0.0034179854393820283
normal	1	Bluefull	Pofuilly Slime	Evade Material	0.27027027027027023	0.0034179854393820283
normal	1	Purplenum	Pofuilly Slime	HP Material	0.27027027027027023	0.0034179854393820283
normal	1	Pinkal	Pofuilly Slime	Def Material	0.27027027027027023	0.0034179854393820283
normal	1	Redria	Pofuilly Slime	Def Material	0.27027027027027023	0.0034179854393820283
normal	1	Oran	Pofuilly Slime	Evade Material	0.27027027027027023	0.0034179854393820283
normal	1	Yellowboze	Pofuilly Slime	Def Material	0.27027027027027023	0.0034179854393820283
normal	1	Whitill	Pofuilly Slime	Def Material	0.27027027027027023	0.0034179854393820283
normal	1	Viridia	Pouilly Slime	Resist/Freeze	1	0.8771929824561404
normal	1	Greenill	Pouilly Slime	Resist/Flame	1	0.8771929824561404
normal	1	Skyly	Pouilly Slime	Resist/Thunder	1	0.8771929824561404
normal	1	Bluefull	Pouilly Slime	Resist/Thunder	1	0.8771929824561404
normal	1	Purplenum	Pouilly Slime	Resist/Flame	1	0.8771929824561404
normal	1	Pinkal	Pouilly Slime	Resist/Light	1	0.8771929824561404
normal	1	Redria	Pouilly Slime	Master/Ability	1	0.8771929824561404
normal	1	Oran	Pouilly Slime	Resist/Thunder	1	0.8771929824561404
normal	1	Yellowboze	Pouilly Slime	Resist/Thunder	1	0.8771929824561404
normal	1	Whitill	Pouilly Slime	Resist/Light	1	0.8771929824561404
normal	1	Viridia	Pan Arms	Trimate	0.9009009009009008	0.5617977528089888
normal	1	Greenill	Pan Arms	Trimate	0.9009009009009008	0.5617977528089888
normal	1	Skyly	Pan Arms	Trimate	0.9009009009009008	0.5617977528089888
normal	1	Bluefull	Pan Arms	Trimate	0.9009009009009008	0.5617977528089888
normal	1	Purplenum	Pan Arms	Trimate	0.9009009009009008	0.5617977528089888
normal	1	Pinkal	Pan Arms	Trimate	0.9009009009009008	0.5617977528089888
normal	1	Redria	Pan Arms	Trimate	0.9009009009009008	0.5617977528089888
normal	1	Oran	Pan Arms	Trimate	0.9009009009009008	0.5617977528089888
normal	1	Yellowboze	Pan Arms	Trimate	0.9009009009009008	0.5617977528089888
normal	1	Whitill	Pan Arms	Trimate	0.9009009009009008	0.5617977528089888
normal	1	Viridia	Migium	Sol Atomizer	0.4	0.5617977528089888
normal	1	Greenill	Migium	Sol Atomizer	0.4	0.5617977528089888
normal	1	Skyly	Migium	Sol Atomizer	0.4	0.5617977528089888
normal	1	Bluefull	Migium	Sol Atomizer	0.4	0.5617977528089888
normal	1	Purplenum	Migium	Sol Atomizer	0.4	0.5617977528089888
normal	1	Pinkal	Migium	Sol Atomizer	0.4	0.5617977528089888
normal	1	Redria	Migium	Sol Atomizer	0.4	0.5617977528089888
normal	1	Oran	Migium	Sol Atomizer	0.4	0.5617977528089888
normal	1	Yellowboze	Migium	Sol Atomizer	0.4	0.5617977528089888
normal	1	Whitill	Migium	Sol Atomizer	0.4	0.5617977528089888
normal	1	Viridia	Hidoom	Sol Atomizer	0.4	0.5617977528089888
normal	1	Greenill	Hidoom	Sol Atomizer	0.4	0.5617977528089888
normal	1	Skyly	Hidoom	Sol Atomizer	0.4	0.5617977528089888
normal	1	Bluefull	Hidoom	Sol Atomizer	0.4	0.5617977528089888
normal	1	Purplenum	Hidoom	Sol Atomizer	0.4	0.5617977528089888
normal	1	Pinkal	Hidoom	Sol Atomizer	0.4	0.5617977528089888
normal	1	Redria	Hidoom	Sol Atomizer	0.4	0.5617977528089888
normal	1	Oran	Hidoom	Sol Atomizer	0.4	0.5617977528089888
normal	1	Yellowboze	Hidoom	Sol Atomizer	0.4	0.5617977528089888
normal	1	Whitill	Hidoom	Sol Atomizer	0.4	0.5617977528089888
normal	1	Viridia	De Rol Le	Star Atomizer	1	0.8771929824561404
normal	1	Greenill	De Rol Le	Star Atomizer	1	0.8771929824561404
normal	1	Skyly	De Rol Le	Star Atomizer	1	0.8771929824561404
normal	1	Bluefull	De Rol Le	Star Atomizer	1	0.8771929824561404
normal	1	Purplenum	De Rol Le	Star Atomizer	1	0.8771929824561404
normal	1	Pinkal	De Rol Le	Star Atomizer	1	0.8771929824561404
normal	1	Redria	De Rol Le	Star Atomizer	1	0.8771929824561404
normal	1	Oran	De Rol Le	Star Atomizer	1	0.8771929824561404
normal	1	Yellowboze	De Rol Le	Star Atomizer	1	0.8771929824561404
normal	1	Whitill	De Rol Le	Star Atomizer	1	0.8771929824561404
normal	1	Viridia	Dubchic	HP/Restorate	0.2801120448179272	0.0005493177473577816
normal	1	Greenill	Dubchic	General/Arm	0.2801120448179272	0.0005493177473577816
normal	1	Skyly	Dubchic	HP/Restorate	0.2801120448179272	0.0005493177473577816
normal	1	Bluefull	Dubchic	TP/Restorate	0.2801120448179272	0.0005493177473577816
normal	1	Purplenum	Dubchic	Dragon/HP	0.2801120448179272	0.0005493177473577816
normal	1	Pinkal	Dubchic	TP/Restorate	0.2801120448179272	0.0005493177473577816
normal	1	Redria	Dubchic	TP/Restorate	0.2801120448179272	0.0005493177473577816
normal	1	Oran	Dubchic	TP/Restorate	0.2801120448179272	0.0005493177473577816
normal	1	Yellowboze	Dubchic	HP/Restorate	0.2801120448179272	0.0005493177473577816
normal	1	Whitill	Dubchic	TP/Restorate	0.2801120448179272	0.0005493177473577816
normal	1	Viridia	Gilchic	S-Parts ver2.01	0.2801120448179272	0.0003356932569295481
normal	1	Greenill	Gilchic	S-Parts ver2.01	0.2801120448179272	0.0003356932569295481
normal	1	Skyly	Gilchic	S-Parts ver2.01	0.2801120448179272	0.0003356932569295481
normal	1	Bluefull	Gilchic	Brionac	0.2801120448179272	0.000244140625
normal	1	Purplenum	Gilchic	M&A60 Vise	0.2801120448179272	0.00021362317726024
normal	1	Pinkal	Gilchic	Fire Scepter: Agni	0.2801120448179272	0.000244140625
normal	1	Redria	Gilchic	S-Parts ver2.01	0.2801120448179272	0.0003356932569295481
normal	1	Oran	Gilchic	S-Parts ver2.01	0.2801120448179272	0.0003356932569295481
normal	1	Yellowboze	Gilchic	DB's Saber	0.2801120448179272	0.000244140625
normal	1	Whitill	Gilchic	S-Parts ver2.01	0.2801120448179272	0.0003356932569295481
normal	1	Viridia	Garanz	Trimate	0.8	0.5617977528089888
normal	1	Greenill	Garanz	Trimate	0.8	0.5617977528089888
normal	1	Skyly	Garanz	Trimate	0.8	0.5617977528089888
normal	1	Bluefull	Garanz	Trimate	0.8	0.5617977528089888
normal	1	Purplenum	Garanz	Trimate	0.8	0.5617977528089888
normal	1	Pinkal	Garanz	Trimate	0.8	0.5617977528089888
normal	1	Redria	Garanz	Dragon/HP	0.8	0.0001068114745430872
normal	1	Oran	Garanz	Trimate	0.8	0.5617977528089888
normal	1	Yellowboze	Garanz	Trimate	0.8	0.5617977528089888
normal	1	Whitill	Garanz	Trimate	0.8	0.5617977528089888
normal	1	Viridia	Sinow Beat	Monogrinder	0.5494505494505494	0.00244140625
normal	1	Greenill	Sinow Beat	Scape Doll	0.5494505494505494	0.00021362317726024
normal	1	Skyly	Sinow Beat	Monogrinder	0.5494505494505494	0.00244140625
normal	1	Bluefull	Sinow Beat	Monogrinder	0.5494505494505494	0.00244140625
normal	1	Purplenum	Sinow Beat	Evade Material	0.5494505494505494	0.00244140625
normal	1	Pinkal	Sinow Beat	Monogrinder	0.5494505494505494	0.00244140625
normal	1	Redria	Sinow Beat	Monogrinder	0.5494505494505494	0.00244140625
normal	1	Oran	Sinow Beat	Monogrinder	0.5494505494505494	0.00244140625
normal	1	Yellowboze	Sinow Beat	Monogrinder	0.5494505494505494	0.00244140625
normal	1	Whitill	Sinow Beat	Monogrinder	0.5494505494505494	0.00244140625
normal	1	Viridia	Sinow Gold	Sol Atomizer	0.5	0.5617977528089888
normal	1	Greenill	Sinow Gold	Star Atomizer	0.5	0.2188183807439825
normal	1	Skyly	Sinow Gold	Trimate	0.5	0.5617977528089888
normal	1	Bluefull	Sinow Gold	Trimate	0.5	0.5617977528089888
normal	1	Purplenum	Sinow Gold	Trimate	0.5	0.5617977528089888
normal	1	Pinkal	Sinow Gold	Trimate	0.5	0.5617977528089888
normal	1	Redria	Sinow Gold	AddSlot	0.5	0.0003662104904657099
normal	1	Oran	Sinow Gold	Sol Atomizer	0.5	0.5617977528089888
normal	1	Yellowboze	Sinow Gold	Sol Atomizer	0.5	0.5617977528089888
normal	1	Whitill	Sinow Gold	Sol Atomizer	0.5	0.5617977528089888
normal	1	Viridia	Canadine	Red Barrier	0.33003300330033003	0.0005493177473577816
normal	1	Greenill	Canadine	Blue Barrier	0.33003300330033003	0.0005493177473577816
normal	1	Bluefull	Canadine	Yellow Barrier	0.33003300330033003	0.0005493177473577816
normal	1	Purplenum	Canadine	Yellow Barrier	0.33003300330033003	0.0005493177473577816
normal	1	Pinkal	Canadine	Yellow Barrier	0.33003300330033003	0.0005493177473577816
