episode:		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4		
quest	hours	Hildebear	Hildeblue	Rag Rappy	Al Rappy	Monest	Savage Wolf	Barbarous Wolf	Booma	Gobooma	Gigobooma	Dragon	Grass Assassin	Poison Lily	Nar Lily	Nano Dragon	Evil Shark	Pal Shark	Guil Shark	Pofuilly Slime	Pouilly Slime	Pan Arms	De Rol Le	Dubchic	Gilchic	Garanz	Sinow Beat	Sinow Gold	Canadine	Canane	Dubswitch	Vol Opt	Delsaber	Chaos Sorcerer	Dark Gunner	Chaos Bringer	Dark Belra	Dimenian	La Dimenian	So Dimenian	Bulclaw	Claw	Dark Falz	Hildebear	Hildeblue	Rag Rappy	Love Rappy	Monest	Poison Lily	Nar Lily	Grass Assassin	Dimenian	La Dimenian	So Dimenian	Dark Belra	Barba Ray	Savage Wolf	Barbarous Wolf	Pan Arms	Dubchic	Gilchic	Garanz	Dubswitch	Delsaber	Chaos Sorcerer	Gol Dragon	Sinow Berill	Sinow Spigell	Merillia	Meriltas	Mericarol	Merikle	Mericus	Ul Gibbon	Zol Gibbon	Gibbles	Gee	Gi Gue	Gal Gryphon	Deldepth	Delbiter	Dolmolm	Dolmdarl	Morfos	Recobox	Epsilon	Sinow Zoa	Sinow Zele	Ill Gill	Del Lily	Olga Flow	Sand Rappy	Del Rappy	Astark	Satellite Lizard	Yowie	Merissa A	Merissa AA	Girtablulu	Zu	Pazuzu	Boota	Ze Boota	Ba Boota	Dorphon	Dorphon Eclair	Goran	Pyro Goran	Goran Detonator	Saint-Million	Shambertin	Kondrieu	Normal Box	Gold Box
Valentine's Event	0,50																																																																		8	3	11	9				11	3		23																																				5	
AOL CUP -Maximum Attack-	0,50	11				1	25	18	59	24	37			81		13	54	12	23	6		6			96	22	34	3	79	2																																																																																				
Maximum Attack 4th Stage -A- (Ep. I)	0,33												25	63		14	43	21	28	16				20	46	12	17	21	67	3	4			7	31	3	23	37	33	30	8	51																																																																								
Maximum Attack 4th Stage -B- (Ep. I)	0,33												28	62		22	20	40	32	14				21	21	13	19	16	59	3	4			10	24	5	27	13	18	25	11	52																																																																								
Maximum Attack 4th Stage -C- (Ep. I)	0,33												28	62		22	20	40	32	14				24	19	16	17	19	48	4	3			7	18	12	9	11	11	20	5	17	1																																																																							
Principal's Gift	0,50																							6	68	2	22	3	20		1																																																																																			
White Day	0,50													26		5	24	24	24	7		4																																																																																												
Endless Nightmare #1	0,50	8		19		4	29	4	60	32	23																																																																																																							
Endless Nightmare #2	0,50												20	32		6	152	44	28	5																																																																																														
Endless Nightmare #3	0,50																							37	108	10	48	14	84	2	8																																																																																			
Endless Nightmare #4	0,50																																44	3	21	13	28	49	59	49	6	90																																																																								
Mop-up Operation #1	0,50					2	10	5	14	23	36																																																																																																							
Mop-up Operation #2	0,50												10	9		18	72	21	24																																																																																															
Mop-up Operation #3	0,50																							9	59	6	17	7	55	2	2																																																																																			
Mop-up Operation #4	0,50																																13	5	6		12	35	27	33		50																																																																								
Today's Rate	0,50													52		7	1	1	53	5		6		9	47	6	27	7	25		3																																																																																			
Fragment of Memory	0,50																																81	68	77	16	38	226			86	237	1																																																																							
Gallon's Treachery	0,50													22		7	16	13	14	5		1											3		2	3		3	3	10		12																																																																								
